Gas;Brake;Fuel;Gear;Rpms;SteerAngle;SpeedKmh;Heading;Pitch;Roll;BrakeTemp_front_left;BrakeTemp_front_right;BrakeTemp_rear_left;BrakeTemp_rear_right;TyreTempI_front_left;TyreTempI_front_right;TyreTempI_rear_left;TyreTempI_rear_right;TyreTempM_front_left;TyreTempM_front_right;TyreTempM_rear_left;TyreTempM_rear_right;TyreTempO_front_left;TyreTempO_front_right;TyreTempO_rear_left;TyreTempO_rear_right;isNewLap
0;1;65;7;7283;-0.00372075;238.01125;2.1884487;-0.009428426;-0.017732855;364.52832;367.49338;214.8658;215.03963;0;0;0;0;0;0;0;0;0;0;0;0;0
0;1;65;7;7080;-0.0046227504;231.83968;2.1862023;-0.013463587;-0.01857369;385.51535;389.0334;222.57483;222.74783;0;0;0;0;0;0;0;0;0;0;0;0;0
0;1;65;7;6946;-0.0047355;224.44244;2.1837182;-0.013466208;-0.015738256;405.84494;409.62747;230.38976;230.56198;0;0;0;0;0;0;0;0;0;0;0;0;0
0;1;65;7;6653;-0.0049610003;217.76443;2.1795647;-0.0130530875;-0.014574293;424.3652;428.10483;237.60393;237.77536;0;0;0;0;0;0;0;0;0;0;0;0;0
0;1;65;7;6518;-0.0049610003;211.08858;2.175218;-0.012634543;-0.01899721;443.27832;447.02835;244.75705;244.95529;0;0;0;0;0;0;0;0;0;0;0;0;0
0.17225015;1;65;6;7717;-0.0055247503;204.92223;2.1724272;-0.014405581;-0.023746502;460.03888;464.25616;251.39944;251.73503;0;0;0;0;0;0;0;0;0;0;0;0;0
0;1;65;6;7212;-0.008681751;199.50963;2.1704428;-0.013704549;-0.02468622;478.44904;481.79102;258.33102;258.5596;0;0;0;0;0;0;0;0;0;0;0;0;0
0.7745646;1;65;1;8162;-0.01319175;192.60596;2.1656091;-0.0128870625;-0.026445491;495.91104;500.72937;265.33417;265.7284;0;0;0;0;0;0;0;0;0;0;0;0;0
0;1;65;5;7808;-0.013642751;187.52856;2.1592999;-0.01126875;-0.02595761;509.8014;514.8664;271.1618;271.44913;0;0;0;0;0;0;0;0;0;0;0;0;0
0;1;65;5;7657;-0.014770251;181.92693;2.1516883;-0.010364289;-0.025132162;525.3712;530.3281;277.00815;277.29434;0;0;0;0;0;0;0;0;0;0;0;0;0
0;1;65;1;7375;-0.016912501;175.74704;2.1405408;-0.00893234;-0.0246653;540.18274;544.90845;282.73532;283.02048;0;0;0;0;0;0;0;0;0;0;0;0;0
0.34450033;1;65;1;9108;-0.01837825;170.62834;2.1292536;-0.00600441;-0.027250972;553.604;558.58325;287.72028;288.26318;0;0;0;0;0;0;0;0;0;0;0;0;0
0;1;65;4;8361;-0.021197;164.70033;2.1176252;-0.00605768;-0.022882206;568.8434;574.47284;294.09006;294.4907;0;0;0;0;0;0;0;0;0;0;0;0;0
0;1;65;4;8065;-0.023790251;159.80374;2.1056993;-0.0067495275;-0.023063751;581.44556;586.669;298.64343;299.04276;0;0;0;0;0;0;0;0;0;0;0;0;0
0;1;65;4;7841;-0.0245795;154.75722;2.090299;-0.006671242;-0.022277758;593.7229;599.6514;303.5723;304.0309;0;0;0;0;0;0;0;0;0;0;0;0;0
0;1;65;4;7446;-0.025706999;149.06487;2.0701401;-0.007370469;-0.022010552;606.5906;614.1532;308.52847;309.1622;0;0;0;0;0;0;0;0;0;0;0;0;0
0;1;65;1;7312;-0.02627075;144.72215;2.0531244;-0.006878066;-0.020539667;615.2003;624.0221;312.27527;312.84308;0;0;0;0;0;0;0;0;0;0;0;0;0
0;1;65;3;8866;-0.027172752;139.84908;2.031567;-0.0078200735;-0.01709903;627.34326;635.05225;317.17432;318.0364;0;0;0;0;0;0;0;0;0;0;0;0;0
0;1;65;3;8408;-0.029315;135.01143;2.0133407;-0.008560446;-0.014061975;637.54626;646.02295;321.23242;322.06335;0;0;0;0;0;0;0;0;0;0;0;0;0
0;1;65;3;8070;-0.03190825;130.65887;1.9953609;-0.009558599;-0.011013214;648.4841;656.4146;325.17612;326.01395;0;0;0;0;0;0;0;0;0;0;0;0;0
0;1;65;3;7809;-0.034276;125.56689;1.9721254;-0.010244988;-0.0083768815;657.20355;667.5213;329.08435;329.92822;0;0;0;0;0;0;0;0;0;0;0;0;0
0;1;65;3;7493;-0.0376585;121.00883;1.9497818;-0.010589901;-0.0059587294;666.7271;677.0309;332.67834;333.65634;0;0;0;0;0;0;0;0;0;0;0;0;0
0;1;65;3;7186;-0.051075753;116.16602;1.9253519;-0.012441055;-0.004662486;675.2288;686.94824;336.53848;337.60388;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0.9682;65;3;6979;-0.06663525;112.225494;1.9013772;-0.012598572;-0.0055315443;681.5691;694.0983;339.2998;340.61053;0;0;0;0;0;0;0;0;0;0;0;0;0
